Date,Open,High,Low,Close
01/04/85,163.68,164.56,163.43,163.68
01/07/85,164.24,164.62,163.74,164.24
01/08/85,163.99,164.49,163.99,163.99
01/09/85,165.18,165.56,164.06,165.18
01/10/85,168.31,168.31,165.06,168.31
01/11/85,167.91,168.66,167.66,167.91
01/14/1985,170.51,170.51,167.64,170.51
01/15/1985,170.81,171.81,170.44,170.81
01/16/1985,171.19,171.94,170.44,171.19
01/17/1985,170.73,171.23,170.23,170.73
01/18/1985,171.32,171.32,170.7,171.32
01/21/1985,175.23,175.36,171.36,175.23
01/22/1985,175.48,176.61,175.23,175.48
01/23/1985,177.3,176.11,175.24,177.3
01/24/1985,176.71,178.09,176.59,176.71
01/25/1985,177.35,177.73,176.6,177.35
01/28/1985,177.4,178.15,176.65,177.4
01/29/1985,179.18,179.18,176.68,179.18
01/30/1985,179.39,180.27,179.14,179.39
01/31/1985,179.63,179.76,178.63,179.63
02/01/85,178.63,179.63,178.51,178.63
02/04/85,180.35,180.35,177.85,180.35
02/05/85,180.61,181.49,180.11,180.61
02/06/85,180.43,181.43,180.43,180.43
02/07/85,181.82,181.95,180.45,181.82
02/08/85,182.19,182.32,181.69,182.19
02/11/85,180.51,182.14,180.14,180.51
02/12/85,180.56,180.69,179.56,180.56
02/13/1985,183.35,183.85,180.6,183.35
02/14/1985,182.41,183.91,182.41,182.41
02/15/1985,181.6,182.6,181.35,181.6
02/19/1985,181.33,181.58,180.96,181.33
02/20/1985,181.18,182.06,180.68,181.18
02/21/1985,180.19,181.07,180.07,180.19
02/22/1985,179.36,180.36,179.24,179.36
02/25/1985,179.23,179.36,178.23,179.23
02/26/1985,181.17,181.55,179.17,181.17
02/27/1985,180.71,181.84,180.59,180.71
02/28/1985,181.18,181.18,180.43,181.18
03/01/85,183.23,183.86,181.23,183.23
03/04/85,182.06,183.31,181.44,182.06
03/05/85,182.23,182.61,181.48,182.23
03/06/85,180.65,182.15,180.65,180.65
03/07/85,179.51,180.64,179.51,179.51
03/08/85,179.1,179.85,179.1,179.1
03/11/85,178.79,179.42,178.17,178.79
03/12/85,179.66,180.04,178.79,179.66
03/13/1985,178.19,179.94,178.07,178.19
03/14/1985,177.84,178.47,177.72,177.84
03/15/1985,176.53,178.41,176.53,176.53
03/18/1985,176.88,177.63,176.63,176.88
03/19/1985,179.54,179.54,176.92,179.54
03/20/1985,179.08,179.71,178.83,179.08
03/21/1985,179.35,180.1,179.35,179.35
03/22/1985,179.04,179.92,178.92,179.04
03/25/1985,177.97,178.97,177.97,177.97
03/26/1985,178.43,178.81,177.93,178.43
03/27/1985,179.54,179.79,178.54,179.54
03/28/1985,179.54,180.54,179.54,179.54
03/29/1985,180.66,180.66,179.66,180.66
04/01/85,181.27,181.27,180.52,181.27
04/02/85,180.53,181.78,180.28,180.53
04/03/85,179.11,180.49,178.74,179.11
04/04/85,179.03,179.03,178.41,179.03
04/08/85,178.03,179.41,177.91,178.03
04/09/85,178.21,178.59,178.09,178.21
04/10/85,179.42,179.8,178.3,179.42
04/11/85,180.19,180.82,179.44,180.19
04/12/85,180.54,180.35,180.22,180.54
04/15/1985,180.92,181.05,180.55,180.92
04/16/1985,181.2,181.7,180.2,181.2
04/17/1985,181.68,181.81,181.18,181.68
04/18/1985,180.84,182.47,180.84,180.84
04/19/1985,181.11,181.24,180.49,181.11
04/22/1985,180.7,181.2,180.33,180.7
04/23/1985,181.88,181.88,180.38,181.88
04/24/1985,182.26,182.26,181.76,182.26
04/25/1985,183.43,183.56,182.18,183.43
04/26/1985,182.18,183.56,182.18,182.18
04/29/1985,180.63,182.26,180.63,180.63
04/30/1985,179.83,180.58,178.96,179.83
05/01/85,178.37,180.58,178.96,178.37
05/02/85,179.01,179.01,178.39,179.01
